county,state,state_abbr,ssa,fips
Howard,Arkansas,AR,4300,5061
Independence,Arkansas,AR,4310,5063
Izard,Arkansas,AR,4320,5065
Jackson,Arkansas,AR,4330,5067
Jefferson,Arkansas,AR,4340,5069
Johnson,Arkansas,AR,4350,5071
Lafayette,Arkansas,AR,4360,5073
Lawrence,Arkansas,AR,4370,5075
Lee,Arkansas,AR,4380,5077
Lincoln,Arkansas,AR,4390,5079
Little River,Arkansas,AR,4400,5081
Logan,Arkansas,AR,4410,5083
Lonoke,Arkansas,AR,4420,5085
Madison,Arkansas,AR,4430,5087
Marion,Arkansas,AR,4440,5089
Miller,Arkansas,AR,4450,5091
Mississippi,Arkansas,AR,4460,5093
Monroe,Arkansas,AR,4470,5095
Montgomery,Arkansas,AR,4480,5097
Nevada,Arkansas,AR,4490,5099
Newton,Arkansas,AR,4500,5101
Ouachita,Arkansas,AR,4510,5103
Perry,Arkansas,AR,4520,5105
Phillips,Arkansas,AR,4530,5107
Pike,Arkansas,AR,4540,5109
Poinsett,Arkansas,AR,4550,5111
Polk,Arkansas,AR,4560,5113
Pope,Arkansas,AR,4570,5115
Prairie,Arkansas,AR,4580,5117
Pulaski,Arkansas,AR,4590,5119
Randolph,Arkansas,AR,4600,5121
St. Francis,Arkansas,AR,4610,5123
Saline,Arkansas,AR,4620,5125
Scott,Arkansas,AR,4630,5127
Searcy,Arkansas,AR,4640,5129
Sebastian,Arkansas,AR,4650,5131
Sevier,Arkansas,AR,4660,5133
Sharp,Arkansas,AR,4670,5135
Stone,Arkansas,AR,4680,5137
Union,Arkansas,AR,4690,5139
Van Buren,Arkansas,AR,4700,5141
Washington,Arkansas,AR,4710,5143
White,Arkansas,AR,4720,5145
Woodruff,Arkansas,AR,4730,5147
Yell,Arkansas,AR,4740,5149
Statewide,Arkansas,AR,4999,5990
Alameda,California,CA,5000,6001
Alpine,California,CA,5010,6003
Amador,California,CA,5020,6005
Butte,California,CA,5030,6007
Calaveras,California,CA,5040,6009
Colusa,California,CA,5050,6011
Contra Costa,California,CA,5060,6013
Del Norte,California,CA,5070,6015
El Dorado,California,CA,5080,6017
Fresno,California,CA,5090,6019
Glenn,California,CA,5100,6021
Humboldt,California,CA,5110,6023
Imperial,California,CA,5120,6025
Inyo,California,CA,5130,6027
Kern,California,CA,5140,6029
Kings,California,CA,5150,6031
Lake,California,CA,5160,6033
Lassen,California,CA,5170,6035
Los Angeles,California,CA,5200,6037
Los Angeles,California,CA,5210,6037
Madera,California,CA,5300,6039
Marin,California,CA,5310,6041
Mariposa,California,CA,5320,6043
Mendocino,California,CA,5330,6045
Merced,California,CA,5340,6047
Modoc,California,CA,5350,6049
Mono,California,CA,5360,6051
Monterey,California,CA,5370,6053
Napa,California,CA,5380,6055
Nevada,California,CA,5390,6057
Orange,California,CA,5400,6059
Placer,California,CA,5410,6061
Plumas,California,CA,5420,6063
Riverside,California,CA,5430,6065
Sacramento,California,CA,5440,6067
San Benito,California,CA,5450,6069
San Bernardino,California,CA,5460,6071
San Diego,California,CA,5470,6073
San Francisco,California,CA,5480,6075
San Joaquin,California,CA,5490,6077
San Luis Obispo,California,CA,5500,6079
San Mateo,California,CA,5510,6081
Santa Barbara,California,CA,5520,6083
Santa Clara,California,CA,5530,6085
Santa Cruz,California,CA,5540,6087
Shasta,California,CA,5550,6089
Sierra,California,CA,5560,6091
Siskiyou,California,CA,5570,6093
Solano,California,CA,5580,6095
Sonoma,California,CA,5590,6097
Stanislaus,California,CA,5600,6099
Sutter,California,CA,5610,6101
Tehama,California,CA,5620,6103
Trinity,California,CA,5630,6105
Tulare,California,CA,5640,6107
Tuolumne,California,CA,5650,6109
Ventura,California,CA,5660,6111
Yolo,California,CA,5670,6113
Yuba,California,CA,5680,6115
Statewide,California,CA,5999,6990
Adams,Colorado,CO,6000,8001
Alamosa,Colorado,CO,6010,8003
Broomfield,Colorado,CO,6630,8014
Arapahoe,Colorado,CO,6020,8005
Archuleta,Colorado,CO,6030,8007
Baca,Colorado,CO,6040,8009
Bent,Colorado,CO,6050,8011
Boulder,Colorado,CO,6060,8013
Chaffee,Colorado,CO,6070,8015
Cheyenne,Colorado,CO,6080,8017
Clear Creek,Colorado,CO,6090,8019
Conejos,Colorado,CO,6100,8021
Costilla,Colorado,CO,6110,8023
Crowley,Colorado,CO,6120,8025
Custer,Colorado,CO,6130,8027
Delta,Colorado,CO,6140,8029
Denver,Colorado,CO,6150,8031
Dolores,Colorado,CO,6160,8033
Douglas,Colorado,CO,6170,8035
Eagle,Colorado,CO,6180,8037
Elbert,Colorado,CO,6190,8039
El Paso,Colorado,CO,6200,8041
Fremont,Colorado,CO,6210,8043
Garfield,Colorado,CO,6220,8045
Gilpin,Colorado,CO,6230,8047
Grand,Colorado,CO,6240,8049
Gunnison,Colorado,CO,6250,8051
Hinsdale,Colorado,CO,6260,8053
Huerfano,Colorado,CO,6270,8055
Jackson,Colorado,CO,6280,8057
Jefferson,Colorado,CO,6290,8059
Kiowa,Colorado,CO,6300,8061
Kit Carson,Colorado,CO,6310,8063
Lake,Colorado,CO,6320,8065
La Plata,Colorado,CO,6330,8067
Larimer,Colorado,CO,6340,8069
Las Animas,Colorado,CO,6350,8071
Lincoln,Colorado,CO,6360,8073
Logan,Colorado,CO,6370,8075
Mesa,Colorado,CO,6380,8077
Mineral,Colorado,CO,6390,8079
Moffat,Colorado,CO,6400,8081
Montezuma,Colorado,CO,6410,8083
Montrose,Colorado,CO,6420,8085
Morgan,Colorado,CO,6430,8087
Otero,Colorado,CO,6440,8089
Ouray,Colorado,CO,6450,8091
Park,Colorado,CO,6460,8093
Phillips,Colorado,CO,6470,8095
Pitkin,Colorado,CO,6480,8097
Prowers,Colorado,CO,6490,8099
Pueblo,Colorado,CO,6500,8101
Rio Blanco,Colorado,CO,6510,8103
Rio Grande,Colorado,CO,6520,8105
Routt,Colorado,CO,6530,8107
Saguache,Colorado,CO,6540,8109
San Juan,Colorado,CO,6550,8111
San Miguel,Colorado,CO,6560,8113
Sedgwick,Colorado,CO,6570,8115
Summit,Colorado,CO,6580,8117
Teller,Colorado,CO,6590,8119
Washington,Colorado,CO,6600,8121
Weld,Colorado,CO,6610,8123
Yuma,Colorado,CO,6620,8125
Statewide,Colorado,CO,6999,8990
Fairfield,Connecticut,CT,7000,9001
Hartford,Connecticut,CT,7010,9003
Litchfield,Connecticut,CT,7020,9005
Middlesex,Connecticut,CT,7030,9007
New Haven,Connecticut,CT,7040,9009
New London,Connecticut,CT,7050,9011
Tolland,Connecticut,CT,7060,9013
Windham,Connecticut,CT,7070,9015
Statewide,Connecticut,CT,7999,9990
Kent,Delaware,DE,8000,10001
New Castle,Delaware,DE,8010,10003
Sussex,Delaware,DE,8020,10005
Statewide,Delaware,DE,8999,10990
District of Columbia,District of Columbia,DC,9000,11001
Alachua,Florida,FL,10000,12001
Baker,Florida,FL,10010,12003
Bay,Florida,FL,10020,12005
Bradford,Florida,FL,10030,12007
Brevard,Florida,FL,10040,12009
Broward,Florida,FL,10050,12011
Calhoun,Florida,FL,10060,12013
Charlotte,Florida,FL,10070,12015
Citrus,Florida,FL,10080,12017
Clay,Florida,FL,10090,12019
Collier,Florida,FL,10100,12021
Columbia,Florida,FL,10110,12023
Dade,Florida,FL,10120,12025
DeSoto,Florida,FL,10130,12027
Dixie,Florida,FL,10140,12029
Duval,Florida,FL,10150,12031
Escambia,Florida,FL,10160,12033
Flagler,Florida,FL,10170,12035
Franklin,Florida,FL,10180,12037
Gadsden,Florida,FL,10190,12039
Gilchrist,Florida,FL,10200,12041
Glades,Florida,FL,10210,12043
Gulf,Florida,FL,10220,12045
Hamilton,Florida,FL,10230,12047
Hardee,Florida,FL,10240,12049
Hendry,Florida,FL,10250,12051
Hernando,Florida,FL,10260,12053
Highlands,Florida,FL,10270,12055
Hillsborough,Florida,FL,10280,12057
Holmes,Florida,FL,10290,12059
Indian River,Florida,FL,10300,12061
Jackson,Florida,FL,10310,12063
