state,county, TOT_MALE,TOT_FEMALE,% Age 0 to 4 years,% Age 5 to 9 years,% Age 10 to 14 years,% Age 15 to 19 years,% Age 20 to 24 years,% Age 25 to 29 years,% Age 30 to 34 years,% Age 35 to 39 years,% Age 40 to 44 years,% Age 45 to 49 years,% Age 50 to 54 years,% Age 55 to 59 years,% Age 60 to 64 years,% Age 65 to 69 years,% Age 70 to 74 years,% Age 75 to 79 years,% Age 80 to 84 years,%  Age 85 years or older,%  TOT_MALE,% TOT_FEMALE,fips
Alabama,Autauga,26995,28606,6.05025089476808,6.156364094170968,6.981888814949372,6.753475656912646,5.706731893311271,6.663549216740707,6.224708188701642,6.525062498875919,6.503480153234655,7.132965234438229,6.854193269905218,7.062822611104116,5.821837736731354,4.65639107210302,4.156400064747038,3.127641589180051,2.0557184223305334,1.5665185877951835,48.55128504883005,51.44871495116994,1001
Alabama,Baldwin,105657,112365,5.483391584335526,5.871884488721322,6.412655603562943,5.9315114988395665,5.09489867994973,5.720064947574098,5.530175853812918,6.034253423966389,5.906284686866463,6.632816871691848,6.532368293108035,7.221289594628065,7.185054719248517,6.543835025823082,5.720064947574098,3.88263569731495,2.3227013787599415,1.9741127042225095,48.46162313894928,51.538376861050715,1003
Alabama,Barbour,13133,11748,5.1605642860013665,5.819701780475061,6.0648687753707655,5.831759173666653,5.916160926007797,7.21835939069973,6.711948876652868,6.153289658775773,5.827740042602789,6.527068847715125,6.44266709537398,6.732044531972188,6.173385314095093,6.189461838350549,5.373578232386158,3.6453518749246414,2.3150194927856598,1.8970298621438044,52.78324826172581,47.21675173827419,1005
Alabama,Bibb,11921,10479,5.736607142857142,5.227678571428571,5.919642857142858,5.669642857142857,5.816964285714286,7.705357142857143,7.147321428571428,6.75,6.428571428571428,7.133928571428571,7.0580357142857135,6.848214285714286,6.084821428571428,5.276785714285714,4.428571428571428,3.263392857142857,1.8839285714285714,1.6205357142857142,53.21875,46.78125,1007
Alabama,Blount,28500,29340,5.982019363762102,6.2845781466113415,6.746196403872752,6.341632088520055,5.494467496542185,6.161825726141079,5.826417704011065,6.0753803596127245,6.14280774550484,6.779045643153527,6.737551867219917,6.823997233748271,6.367565698478561,5.674273858921162,5.119294605809128,3.4059474412171507,2.2527662517289073,1.784232365145228,49.27385892116183,50.72614107883817,1009
Alabama,Bullock,5527,4611,5.918327086210297,5.898599329256263,5.928190964687316,5.217991714342079,6.174787926612744,7.585322548826198,7.4669560071019925,6.796212270664825,6.115604655750642,6.450976523969225,5.9577826001183665,7.417636614716907,6.687709607417637,5.336358256066285,4.014598540145985,2.9197080291970803,2.298283685144999,1.8149536397711579,54.51765634247386,45.482343657526144,1011
Alabama,Butler,9165,10515,5.685975609756098,6.260162601626017,6.544715447154472,5.960365853658536,5.538617886178862,6.0772357723577235,5.503048780487805,6.371951219512195,5.772357723577236,6.0060975609756095,5.746951219512195,6.910569105691057,7.3221544715447155,6.310975609756097,4.867886178861788,3.567073170731707,2.5813008130081303,2.972560975609756,46.57012195121951,53.42987804878049,1013
Alabama,Calhoun,54914,59363,5.757939042852017,5.741312775099101,6.253226808544151,6.555124828268156,6.375736149881428,7.155420600820812,6.022209193451001,6.110590932558608,5.830569580930546,6.1814713371894605,6.3346080138610565,7.075789528951583,6.888525250050316,5.923326653657341,4.643979103406635,3.2132450099320073,2.08965933652441,1.8472658540213693,48.05341407282305,51.94658592717695,1015
Alabama,Chambers,16093,17522,5.738509593931281,5.7712330804700285,5.729585006693441,5.610590510188904,5.970548862115127,7.059348505131638,5.527294362635728,5.580841886062769,5.649263721552878,6.4822251970846345,6.633943180127918,7.5293767663245585,7.196192176111854,6.166889781347613,5.256581883087907,3.5847092071991673,2.284694332887104,2.228171947047449,47.87446080618771,52.12553919381229,1017
Alabama,Cherokee,12896,13136,4.632759680393362,5.178242163491087,5.692993239090351,5.758297480024585,5.009219422249539,5.946527350952674,4.632759680393362,4.986170866625692,5.650737553779963,6.657191149354641,7.133527965580824,7.744314689612784,8.005531653349724,7.152735095267364,6.465119852489244,4.425322679778733,2.869545175169023,2.05900430239705,49.53902888752305,50.46097111247695,1019
